url,predicted_label,phishing_probability
https://www.knust.edu.gh,0,0.028
https://sis.knust.edu.gh,0,0.2573
https://www.ug.edu.gh,0,0.0449
https://admissions.ug.edu.gh,0,0.307
https://www.ucc.edu.gh,0,0.0485
https://ashesi.edu.gh,0,0.3006
https://www.gimpa.edu.gh,0,0.037
https://www.mtn.com.gh,0,0.0553
https://momo.mtn.com.gh,0,0.4514
https://vodafone.com.gh,0,0.477
https://www.gcb.com.gh,0,0.0636
https://ecobank.com/gh,1,0.9217
https://www.absa.com.gh,0,0.0393
https://www.bog.gov.gh,0,0.0477
https://www.ghana.gov.gh,0,0.1088
https://www.gra.gov.gh,0,0.0553
https://www.nhis.gov.gh,0,0.0452
https://www.ssnit.org.gh,0,0.0408
https://www.ghanaweb.com,0,0.1698
https://citinewsroom.com,1,0.664
https://3news.com,0,0.167
https://www.graphic.com.gh,0,0.1719
https://www.myJoy.online,1,0.5812
https://www.umat.edu.gh,0,0.0309
https://www.uds.edu.gh,0,0.0318
https://www.uew.edu.gh,0,0.0318
https://www.upsa.edu.gh,0,0.0312
https://www.pentvars.edu.gh,0,0.037
https://www.gctu.edu.gh,0,0.026
https://www.aiti-kace.com.gh,0,0.1869
https://www.nita.gov.gh,0,0.0485
https://www.nca.org.gh,0,0.0512
https://www.csa.gov.gh,0,0.0636
https://www.airteltigomoney.com,0,0.2278
https://www.fidelitybank.com.gh,0,0.3354
https://www.stanbicbank.com.gh,0,0.2387
https://calbank.net,1,0.5422
https://www.zenithbank.com.gh,0,0.2747
https://www.unibank.com.gh,0,0.2317
https://www.adb.com.gh,0,0.055
