url,predicted_label,phishing_probability
https://www.knust.edu.gh,0,0.046
https://sis.knust.edu.gh,0,0.2286
https://www.ug.edu.gh,0,0.053
https://admissions.ug.edu.gh,0,0.3362
https://www.ucc.edu.gh,0,0.0572
https://ashesi.edu.gh,0,0.2854
https://www.gimpa.edu.gh,0,0.0464
https://www.mtn.com.gh,0,0.0868
https://momo.mtn.com.gh,1,0.529
https://vodafone.com.gh,0,0.453
https://www.gcb.com.gh,0,0.0824
https://ecobank.com/gh,1,0.9163
https://www.absa.com.gh,0,0.0666
https://www.bog.gov.gh,0,0.0761
https://www.ghana.gov.gh,0,0.2231
https://www.gra.gov.gh,0,0.0804
https://www.nhis.gov.gh,0,0.069
https://www.ssnit.org.gh,0,0.0565
https://www.ghanaweb.com,0,0.2288
https://citinewsroom.com,1,0.7038
https://3news.com,0,0.2309
https://www.graphic.com.gh,0,0.2114
https://www.myJoy.online,1,0.5785
https://www.umat.edu.gh,0,0.0283
https://www.uds.edu.gh,0,0.0449
https://www.uew.edu.gh,0,0.0496
https://www.upsa.edu.gh,0,0.0283
https://www.pentvars.edu.gh,0,0.0566
https://www.gctu.edu.gh,0,0.0299
https://www.aiti-kace.com.gh,0,0.0523
https://www.nita.gov.gh,0,0.0616
https://www.nca.org.gh,0,0.0763
https://www.csa.gov.gh,0,0.0763
https://www.airteltigomoney.com,0,0.3275
https://www.fidelitybank.com.gh,0,0.3235
https://www.stanbicbank.com.gh,0,0.3248
https://calbank.net,1,0.5679
https://www.zenithbank.com.gh,0,0.3155
https://www.unibank.com.gh,0,0.2797
https://www.adb.com.gh,0,0.104
