url,predicted_label,phishing_probability
https://bit.ly/3SAhV4i,1,0.9825
https://theos-sublime-site-0b5bb1.webflow.io/,1,0.9779
https://dvllba-gh.ink/gh,1,0.9106
https://datagh.app?q=5XPW4B,1,0.5687
https://earnmgjr-cofiad.xyz/GHMNBVCXZLKJGH.html?pid=r 917778183393224,1,0.9972
http://gcb.com.gh/login,0,0.4691
www.Login.com,1,0.6802
http://mtn-momo-gh-reward.blogspot.com/free-data,1,0.5299
https://ucc-fees-clearance.firebaseapp.com/student,1,0.9466
http://ug-student-portal-verify.freehostapp.com/login,1,0.9991
https://mtn-data-gift.net,1,0.5137
https://mtn-promo-reward.xyz,1,0.9276
https://mtnmomo-support.live,1,0.8426
https://claim-mtn-data.online,1,0.7912
https://free-mtn-data-gh.com,0,0.4978
https://mtn-gh-rewards.site,1,0.8224
https://mtnmomo-alerts.com,1,0.8576
https://mtn-bonus-gh.info,1,0.6915
https://mtn-momo-verify.info,1,0.9778
https://mtn-data-offer.live,1,0.9208
https://mtnmomo-update.co,1,0.8409
https://mtn-momo-ghana-login.net,1,0.9689
https://mtnmomo-gh.xyz,1,0.8259
https://mtn-freebundle.site,1,0.9426
https://mtnmomo-bonus.com,1,0.7009
https://mtn-momo-reward.net,1,0.6692
https://mtnmomo-security.com,1,0.6664
https://mtn-momo-cashback.live,1,0.9482
https://mtnmomo-login.site,1,0.9616
https://mtnmomo-confirm.net,1,0.9391
https://quickloan-ghana-approval.net,1,0.8792
https://claim-your-reward-gh.com,1,0.7815
https://parcel-fees-gh.site,1,0.7207
https://customs-clearance-gh.xyz,1,0.9659
https://claim-ghs5000-now.site,1,0.9892
https://ghana-lottery-winner.com,1,0.8377
https://express-delivery-ghana.info,1,0.9574
https://courier-arrival-gh.net,1,0.8106
https://parcel-tracking-gh.site,1,0.9194
https://gh-bonus-claim.xyz,1,0.9066
https://delivery-confirmation-ghana.com,1,0.9928
https://fedexghana-parcel.live,1,0.9855
https://freecashghana.live,1,0.8982
https://ghana-post-delivery.net,1,0.7813
https://reward-center-ghana.net,1,0.7824
https://dhl-ghana-clearance.com,1,0.8862
https://cashgift-ghana.site,1,0.8425
https://speedpost-ghana.live,1,0.8689
https://mobilemoney-prize.live,1,0.9566
https://fidelity-mobile-auth.live,1,0.9645
https://absa-security-center.site,1,0.8926
https://mtn-promo-center.live,1,0.7037
https://airteltigo-number-update.live,1,0.9857
https://mtnmomo-wallet-update.com,1,0.9106
https://airteltigo-security-check.com,1,0.9283
https://mtn-freeairtime.site,1,0.9527
https://telecel-rewardcenter.xyz,1,0.9624
https://mtn-account-confirm.net,1,0.9793
https://telecel-wallet-security.info,1,0.9491
https://telecel-customer-update.com,1,0.9051
https://accessbank-login-center.xyz,1,0.998
https://gcb-customer-update.xyz,1,0.9667
https://mtn-loyalty-rewards-gh.live,1,0.9228
https://airteltigo-wallet-update.xyz,1,0.9885
https://telecel-sim-update.site,1,0.9332
https://mtn-reactivation.net,1,0.7964
https://mtn-data-renewal.online,1,0.8105
https://mtnbonus-ghana.xyz,1,0.9538
https://instantloan-gh.xyz,1,0.9444
https://bank-alert-ghana.site,1,0.7612
https://mtn-sim-update.site,1,0.9578
https://bit.ly/4g9FoTQ,1,0.9844
http://ojefj.gdn,1,0.5672
https.www.money,0,0.1013
http://ashesi-admissions-confirmation.site/portal,1,0.9954
https://ecg-refund.live,1,0.9546
https://telecel-bonus.live,1,0.8477
https://gwa-payment.live,1,0.9512
https://ecg-service-alert.info,1,0.9035
https://ecg-disconnection-alert.com,1,0.9053
https://telecel-cash-login.info,1,0.993
https://ecg-bill-payment.net,1,0.5254
https://telecel-reward.site,1,0.874
https://telecel-security.net,1,0.5378
https://ecgghana-pay.online,1,0.9394
https://airteltigo-bonus.net,1,0.6906
https://ecg-balance-check.site,1,0.7248
https://telecelcash-update.xyz,1,0.9693
https://waterbill-ghana.org,1,0.8271
https://airteltigo-free-data.com,1,0.9248
https://ecg-payment-secure.net,1,0.8352
https://telecelcash-verify.com,1,0.9937
https://airteltigo-promo.live,1,0.9426
https://airteltigo-login.site,1,0.9916
https://ecg-smartmeter-update.com,1,0.9284
https://mtn-security-alert.xyz,1,0.9572
https://telecel-verification.site,1,0.9635
https://telecel-bill-payment.live,1,0.8927
https://telecel-data-gift.site,1,0.7964
https://mtnmomo-authenticate.site,1,0.9463
https://telecelcash-alert.net,1,0.7209
https://mtn-customer-reward.info,1,0.9245
https://telecel-airtime-bonus.live,1,0.9645
https://ghana-services-online.com,1,0.8734
https://ecg-online-payments.xyz,1,0.9403
https://ghanaid-records.xyz,1,0.9097
https://ecg-bill-dispute.site,1,0.8269
https://absa-secure-banking.live,1,0.9794
https://ashesi-registration.net,1,0.7583
https://ghana-card-linking.site,1,0.925
https://ecg-meter-verification.live,1,0.9687
https://id-card-confirmation.net,1,0.9948
https://egov-payment.xyz,1,0.9708
https://govportal-security.net,1,0.9011
https://nia-authentication.site,1,0.9669
https://gra-online-services.live,1,0.9612
https://ucc-student-email.net,0,0.3871
https://ghana-gov-auth.site,1,0.873
